ID;CHOICE;LUGGAGE;AGE;GA;TRAIN_TT;TRAIN_CO;SM_TT;SM_CO;SM_SEATS;CAR_TT;CAR_CO
34;1;0;3;1;120;2340;77;3120;1;0;0
34;2;0;3;1;120;3120;74;3120;0;0;0
34;2;0;3;1;139;3120;77;3380;0;0;0
34;1;0;3;1;120;2600;77;4160;0;0;0
35;2;1;2;1;148;2600;75;3120;0;0;0
35;1;1;2;1;148;2340;68;4160;0;0;0
35;1;1;2;1;148;2600;71;4160;1;0;0
35;1;1;2;1;112;2340;68;4160;1;0;0
35;1;1;2;1;124;2600;68;3380;1;0;0
35;1;1;2;1;124;2340;71;3120;1;0;0
35;2;1;2;1;124;3120;68;3120;0;0;0
35;1;1;2;1;148;3120;71;3380;0;0;0
35;1;1;2;1;124;2600;71;4160;0;0;0
36;2;1;2;1;87;3120;34;3380;0;0;0
36;2;1;2;1;80;3120;31;3120;0;0;0
36;2;1;2;1;101;3120;38;4160;0;0;0
36;2;1;2;1;80;2600;34;4160;0;0;0
36;2;1;2;1;101;2340;34;3120;0;0;0
36;1;1;2;1;87;2340;31;4160;0;0;0
36;2;1;2;1;80;3120;38;4160;0;0;0
36;1;1;2;1;80;2340;38;3380;0;0;0
36;2;1;2;1;101;2600;31;3380;0;0;0
37;2;1;2;1;66;2600;37;3120;0;50;32
37;2;1;2;1;66;2600;35;4160;1;65;52
37;2;1;2;1;66;2340;33;4160;0;65;40
37;2;1;2;1;56;2340;33;4160;1;40;52
37;2;1;2;1;59;2600;33;3380;1;65;32
37;2;1;2;1;59;2340;35;3120;1;40;40
37;2;1;2;1;59;3120;33;3120;0;40;32
37;2;1;2;1;66;3120;35;3380;0;40;52
37;2;1;2;1;59;2600;35;4160;0;50;40
38;2;1;2;1;121;3120;49;3120;1;0;0
38;2;1;2;1;100;2340;52;3120;0;0;0
38;2;1;2;1;121;2340;56;3380;1;0;0
38;2;1;2;1;107;2340;56;3380;0;0;0
38;2;1;2;1;107;2600;56;3120;0;0;0
38;2;1;2;1;100;2600;56;3120;1;0;0
38;2;1;2;1;100;3120;52;3380;1;0;0
38;2;1;2;1;100;2600;49;3380;0;0;0
38;1;1;2;1;107;3120;56;4160;1;0;0
39;2;1;2;1;205;3120;55;3120;1;0;0
39;2;1;2;1;159;2340;61;3120;0;0;0
39;2;1;2;1;205;2340;69;3380;1;0;0
39;2;1;2;1;174;2340;69;3380;0;0;0
39;2;1;2;1;174;2600;69;3120;0;0;0
39;1;1;2;1;159;2600;69;3120;1;0;0
39;2;1;2;1;159;3120;61;3380;1;0;0
39;2;1;2;1;159;2600;55;3380;0;0;0
39;1;1;2;1;174;3120;69;4160;1;0;0
40;2;1;3;1;97;3120;44;3380;0;0;0
40;2;1;3;1;88;3120;41;3120;0;0;0
40;2;1;3;1;114;3120;48;4160;0;0;0
40;2;1;3;1;88;2600;44;4160;0;0;0
40;2;1;3;1;114;2340;44;3120;0;0;0
40;2;1;3;1;97;2340;41;4160;0;0;0
40;2;1;3;1;88;3120;48;4160;0;0;0
40;2;1;3;1;88;2340;48;3380;0;0;0
40;2;1;3;1;114;2600;41;3380;0;0;0
41;2;1;3;1;274;2600;131;3120;0;210;48
41;1;1;3;1;274;2600;123;4160;1;273;78
41;1;1;3;1;274;2340;117;4160;0;273;60
41;1;1;3;1;209;2340;117;4160;1;168;78
41;2;1;3;1;231;2600;117;3380;1;273;48
41;2;1;3;1;231;2340;123;3120;1;168;60
41;2;1;3;1;231;3120;117;3120;0;168;48
41;2;1;3;1;274;3120;123;3380;0;168;78
41;1;1;3;1;231;2600;123;4160;0;210;60
42;2;1;2;1;109;2600;44;3120;0;90;40
42;2;1;2;1;109;2600;40;4160;1;117;65
42;1;1;2;1;109;2340;37;4160;0;117;50
42;2;1;2;1;88;2340;37;4160;1;72;65
42;2;1;2;1;95;2600;37;3380;1;117;40
42;2;1;2;1;95;2340;40;3120;1;72;50
42;2;1;2;1;95;3120;37;3120;0;72;40
42;2;1;2;1;109;3120;40;3380;0;72;65
42;2;1;2;1;95;2600;40;4160;0;90;50
43;2;1;3;1;85;3120;30;3380;0;0;0
43;2;1;3;1;78;3120;27;3120;0;0;0
43;2;1;3;1;99;3120;34;4160;0;0;0
43;2;1;3;1;78;2600;30;4160;0;0;0
43;2;1;3;1;99;2340;30;3120;0;0;0
43;2;1;3;1;85;2340;27;4160;0;0;0
43;2;1;3;1;78;3120;34;4160;0;0;0
43;2;1;3;1;78;2340;34;3380;0;0;0
43;2;1;3;1;99;2600;27;3380;0;0;0
44;2;1;3;1;141;3120;62;3120;1;90;55
44;2;1;3;1;109;2340;65;3120;0;117;44
44;2;1;3;1;141;2340;69;3380;1;72;44
44;2;1;3;1;120;2340;69;3380;0;117;71
44;2;1;3;1;120;2600;69;3120;0;72;71
44;2;1;3;1;109;2600;69;3120;1;117;55
44;2;1;3;1;109;3120;65;3380;1;90;44
44;2;1;3;1;109;2600;62;3380;0;90;71
44;1;1;3;1;120;3120;69;4160;1;90;71
45;2;1;3;1;173;2600;97;3120;0;90;48
45;1;1;3;1;173;2600;93;4160;1;117;78
45;1;1;3;1;173;2340;90;4160;0;117;60
45;1;1;3;1;136;2340;90;4160;1;72;78
45;1;1;3;1;148;2600;90;3380;1;117;48
45;2;1;3;1;148;2340;93;3120;1;72;60
45;2;1;3;1;148;3120;90;3120;0;72;48
45;2;1;3;1;173;3120;93;3380;0;72;78
45;1;1;3;1;148;2600;93;4160;0;90;60
46;2;1;3;1;152;3120;76;3120;1;0;0
46;1;1;3;1;122;2340;79;3120;0;0;0
46;2;1;3;1;152;2340;83;3380;1;0;0
46;2;1;3;1;132;2340;83;3380;0;0;0
46;2;1;3;1;132;2600;83;3120;0;0;0
46;1;1;3;1;122;2600;83;3120;1;0;0
46;2;1;3;1;122;3120;79;3380;1;0;0
46;2;1;3;1;122;2600;76;3380;0;0;0
46;1;1;3;1;132;3120;83;4160;1;0;0
47;2;1;2;1;92;3120;39;3380;0;78;30
47;2;1;2;1;85;3120;36;3120;0;78;39
47;2;1;2;1;106;3120;43;4160;0;78;24
47;2;1;2;1;85;2600;39;4160;0;48;24
47;2;1;2;1;106;2340;39;3120;0;60;39
47;2;1;2;1;92;2340;36;4160;0;60;24
47;2;1;2;1;85;3120;43;4160;0;48;30
47;2;1;2;1;85;2340;43;3380;0;60;30
47;2;1;2;1;106;2600;36;3380;0;48;30
48;2;1;3;1;54;3120;21;3120;1;40;84
48;1;1;3;1;54;2340;25;3380;1;32;67
48;2;1;3;1;44;2340;23;3120;0;52;67
48;1;1;3;1;47;2340;25;3380;0;52;109
48;2;1;3;1;47;2600;25;3120;0;32;109
48;2;1;3;1;44;2600;25;3120;1;52;84
48;2;1;3;1;44;3120;23;3380;1;40;67
48;1;1;3;1;47;3120;25;4160;1;40;109
48;1;1;3;1;44;2600;21;3380;0;40;109
49;2;1;3;1;133;2600;62;3120;0;75;40
49;2;1;3;1;133;2600;58;4160;1;97;65
49;2;1;3;1;133;2340;55;4160;0;97;50
49;2;1;3;1;103;2340;55;4160;1;60;65
49;2;1;3;1;113;2600;55;3380;1;97;40
49;2;1;3;1;113;2340;58;3120;1;60;50
49;2;1;3;1;113;3120;55;3120;0;60;40
49;2;1;3;1;133;3120;58;3380;0;60;65
49;2;1;3;1;113;2600;58;4160;0;75;50
50;2;1;4;1;263;3120;112;3120;1;150;75
50;2;1;4;1;203;2340;118;3120;0;195;60
50;2;1;4;1;263;2340;126;3380;1;120;60
50;2;1;4;1;223;2340;126;3380;0;195;97
50;2;1;4;1;223;2600;126;3120;0;120;97
50;2;1;4;1;203;2600;126;3120;1;195;75
50;2;1;4;1;203;3120;118;3380;1;150;60
50;2;1;4;1;203;2600;112;3380;0;150;97
50;1;1;4;1;223;3120;126;4160;1;150;97
51;2;1;4;1;107;2600;81;3120;0;90;44
51;2;1;4;1;107;2600;79;4160;1;117;71
51;2;1;4;1;107;2340;77;4160;0;117;55
51;2;1;4;1;82;2340;77;4160;1;72;71
51;2;1;4;1;90;2600;77;3380;1;117;44
51;2;1;4;1;90;2340;79;3120;1;72;55
51;2;1;4;1;90;3120;77;3120;0;72;44
51;2;1;4;1;107;3120;79;3380;0;72;71
51;2;1;4;1;90;2600;79;4160;0;90;55
52;2;1;2;1;195;3120;66;3380;0;0;0
52;2;1;2;1;177;3120;58;3120;0;0;0
52;2;1;2;1;231;3120;76;4160;0;0;0
52;1;1;2;1;177;2600;66;4160;0;0;0
52;2;1;2;1;231;2340;66;3120;0;0;0
52;1;1;2;1;195;2340;58;4160;0;0;0
52;2;1;2;1;177;3120;76;4160;0;0;0
52;1;1;2;1;177;2340;76;3380;0;0;0
52;2;1;2;1;231;2600;58;3380;0;0;0
53;2;3;2;1;138;3120;83;3380;0;104;160
53;2;3;2;1;126;3120;80;3120;0;104;208
53;2;3;2;1;163;3120;87;4160;0;104;128
53;1;3;2;1;126;2600;83;4160;0;64;128
53;2;3;2;1;163;2340;83;3120;0;80;208
53;2;3;2;1;138;2340;80;4160;0;80;128
53;2;3;2;1;126;3120;87;4160;0;64;160
53;2;3;2;1;126;2340;87;3380;0;80;160
53;2;3;2;1;163;2600;80;3380;0;64;160
54;2;1;2;1;97;2220;27;2220;1;0;0
54;2;1;2;1;76;1665;30;2220;0;0;0
54;1;1;2;1;97;1665;34;2405;1;0;0
54;1;1;2;1;83;1665;34;2405;0;0;0
54;2;1;2;1;83;1850;34;2220;0;0;0
54;2;1;2;1;76;1850;34;2220;1;0;0
54;2;1;2;1;76;2220;30;2405;1;0;0
54;2;1;2;1;76;1850;27;2405;0;0;0
54;2;1;2;1;83;2220;34;2960;1;0;0
55;2;1;1;0;131;162;55;162;1;0;0
55;1;1;1;0;101;121;58;162;0;0;0
55;1;1;1;0;131;121;62;175;1;0;0
55;1;1;1;0;111;121;62;175;0;0;0
55;1;1;1;0;111;135;62;162;0;0;0
55;1;1;1;0;101;135;62;162;1;0;0
55;2;1;1;0;101;162;58;175;1;0;0
55;1;1;1;0;101;135;55;175;0;0;0
55;1;1;1;0;111;162;62;216;1;0;0
56;2;1;2;0;97;218;39;262;0;50;28
56;2;1;2;0;97;218;36;349;1;65;45
56;1;1;2;0;97;196;34;349;0;65;35
56;1;1;2;0;79;196;34;349;1;40;45
56;2;1;2;0;85;218;34;283;1;65;28
56;2;1;2;0;85;196;36;262;1;40;35
56;2;1;2;0;85;262;34;262;0;40;28
56;2;1;2;0;97;262;36;283;0;40;45
56;2;1;2;0;85;218;36;349;0;50;35
57;2;0;3;0;257;60;102;60;1;160;105
57;2;0;3;0;195;45;108;60;0;208;84
57;2;0;3;0;257;45;116;65;1;128;84
57;2;0;3;0;216;45;116;65;0;208;136
57;2;0;3;0;216;50;116;60;0;128;136
57;2;0;3;0;195;50;116;60;1;208;105
57;2;0;3;0;195;60;108;65;1;160;84
57;2;0;3;0;195;50;102;65;0;160;136
57;2;0;3;0;216;60;116;80;1;160;136
58;2;1;1;0;92;179;34;215;0;60;24
58;1;1;1;0;92;179;31;286;1;78;39
58;1;1;1;0;92;161;29;286;0;78;30
58;1;1;1;0;74;161;29;286;1;48;39
58;1;1;1;0;80;179;29;233;1;78;24
58;1;1;1;0;80;161;31;215;1;48;30
58;2;1;1;0;80;215;29;215;0;48;24
58;2;1;1;0;92;215;31;233;0;48;39
58;1;1;1;0;80;179;31;286;0;60;30
59;2;1;3;0;292;168;71;168;1;190;110
59;2;1;3;0;224;126;80;168;0;247;88
59;2;1;3;0;292;126;92;182;1;152;88
59;2;1;3;0;247;126;92;182;0;247;143
59;2;1;3;0;247;140;92;168;0;152;143
59;2;1;3;0;224;140;92;168;1;247;110
59;2;1;3;0;224;168;80;182;1;190;88
59;2;1;3;0;224;140;71;182;0;190;143
59;2;1;3;0;247;168;92;224;1;190;143
60;3;1;4;0;132;259;54;259;1;60;45
60;3;1;4;0;102;194;57;259;0;78;36
60;3;1;4;0;132;194;61;281;1;48;36
60;3;1;4;0;112;194;61;281;0;78;58
60;3;1;4;0;112;216;61;259;0;48;58
60;3;1;4;0;102;216;61;259;1;78;45
60;3;1;4;0;102;259;57;281;1;60;36
60;3;1;4;0;102;216;54;281;0;60;58
60;3;1;4;0;112;259;61;346;1;60;58
61;2;1;3;0;240;20;84;20;1;160;115
61;2;1;3;0;185;15;90;20;0;208;92
61;2;1;3;0;240;15;98;22;1;128;92
61;2;1;3;0;203;15;98;22;0;208;149
61;2;1;3;0;203;17;98;20;0;128;149
61;2;1;3;0;185;17;98;20;1;208;115
61;2;1;3;0;185;20;90;22;1;160;92
61;2;1;3;0;185;17;84;22;0;160;149
61;2;1;3;0;203;20;98;27;1;160;149
62;2;1;2;0;186;81;123;84;0;210;88
62;2;1;2;0;186;81;119;92;1;273;143
62;2;1;2;0;186;73;116;88;0;273;110
62;2;1;2;0;165;73;116;88;1;168;143
62;2;1;2;0;172;81;116;88;1;273;88
62;2;1;2;0;172;73;119;81;1;168;110
62;2;1;2;0;172;97;116;97;0;168;88
62;2;1;2;0;186;97;119;99;0;168;143
62;2;1;2;0;172;81;119;92;0;210;110
63;2;1;3;0;120;50;67;65;0;78;35
63;1;1;3;0;141;50;71;74;0;78;28
